stirrer,1
small blower,1
exhaustor,1
centrifugal pump,1
regular compressor,1
light conveyor,1
heavy conveyor,2
large blower,2
generator,2
transmission axle,2
laundry machine,2
press,2
graphical machine,2
positive displacement pump,2
sieving machine,2
pottery machine,3
bucket elevator,3
reciprocating compressor,3
mill,3
carpentry machine,3
textile machine,3
crusher,4
crane,4
tire shop machine,4
