"gr_low","gr_high","rpm","power_a"
1.17,1.23,4800,1.42
1.23,1.31,200,0.07
1.23,1.31,400,0.14
1.23,1.31,600,0.21
1.23,1.31,725,0.25
1.23,1.31,800,0.29
1.23,1.31,870,0.3
1.23,1.31,950,0.33
1.23,1.31,1000,0.35
1.23,1.31,1160,0.4
1.23,1.31,1200,0.41
1.23,1.31,1400,0.48
1.23,1.31,1425,0.49
1.23,1.31,1600,0.55
1.23,1.31,1750,0.6
1.23,1.31,1800,0.62
1.23,1.31,2000,0.69
1.23,1.31,2200,0.76
1.23,1.31,2400,0.83
1.23,1.31,2600,0.9
1.23,1.31,2800,0.97
1.23,1.31,2850,0.98
1.23,1.31,3000,1.04
1.23,1.31,3000,1.11
1.23,1.31,3400,1.17
1.23,1.31,3450,1.19
1.23,1.31,3600,1.24
1.23,1.31,3800,1.31
1.23,1.31,4000,1.38
1.23,1.31,4200,1.45
1.23,1.31,4400,1.42
1.23,1.31,4600,1.59
1.23,1.31,4800,1.66
1.31,1.49,200,0.08
1.31,1.49,400,0.16
1.31,1.49,600,0.24
1.31,1.49,725,0.29
1.31,1.49,800,0.32
1.31,1.49,870,0.34
1.31,1.49,950,0.38
1.31,1.49,1000,0.39
1.31,1.49,1160,0.46
1.31,1.49,1200,0.47
1.31,1.49,1400,0.55
1.31,1.49,1425,0.56
1.31,1.49,1600,0.63
1.31,1.49,1750,0.69
1.31,1.49,1800,0.71
1.31,1.49,2000,0.79
1.31,1.49,2200,0.87
1.31,1.49,2400,0.95
1.31,1.49,2600,1.03
1.31,1.49,2800,1.11
1.31,1.49,2850,1.13
1.31,1.49,3000,1.18
1.31,1.49,3200,1.26
1.31,1.49,3400,1.34
1.31,1.49,3450,1.36
1.31,1.49,3600,1.42
1.31,1.49,3800,1.5
1.31,1.49,4000,1.58
1.31,1.49,4200,1.66
1.31,1.49,4400,1.74
1.31,1.49,4600,1.82
1.31,1.49,4800,1.89
1.49,10,200,0.09
1.49,10,400,0.18
1.49,10,600,0.27
1.49,10,725,0.32
1.49,10,800,0.36
1.49,10,870,0.39
1.49,10,950,0.42
1.49,10,1000,0.44
1.49,10,1160,0.52
1.49,10,1200,0.53
1.49,10,1400,0.62
1.49,10,1425,0.63
1.49,10,1600,0.71
1.49,10,1750,0.78
1.49,10,1800,0.8
1.49,10,2000,0.89
1.49,10,2200,0.98
1.49,10,2400,1.07
1.49,10,2600,1.15
1.49,10,2800,1.24
1.49,10,2850,1.27
1.49,10,3000,1.33
1.49,10,3200,1.42
1.49,10,3400,1.51
1.49,10,3450,1.53
1.49,10,3600,1.6
1.49,10,3800,1.69
1.49,10,4000,1.78
1.49,10,4200,1.87
1.49,10,4400,1.95
1.49,10,4600,2.04
1.49,10,4800,2.13
