"gr_low","gr_high","rpm","power_a"
1.12,1.19,1800,0.16
1.12,1.19,1900,0.17
1.12,1.19,2000,0.17
1.12,1.19,2100,0.18
1.12,1.19,2200,0.19
1.12,1.19,2300,0.2
1.12,1.19,2400,0.21
1.12,1.19,2500,0.22
1.12,1.19,2600,0.23
1.12,1.19,2700,0.24
1.12,1.19,2800,0.24
1.12,1.19,2850,0.25
1.12,1.19,2900,0.25
1.12,1.19,3000,0.26
1.12,1.19,3100,0.27
1.12,1.19,3200,0.28
1.12,1.19,3300,0.29
1.12,1.19,3400,0.3
1.12,1.19,3450,0.3
1.12,1.19,3500,0.31
1.12,1.19,3600,0.31
1.12,1.19,3700,0.32
1.12,1.19,3800,0.33
1.12,1.19,3900,0.34
1.12,1.19,4000,0.35
1.12,1.19,4100,0.36
1.12,1.19,4200,0.37
1.12,1.19,4300,0.37
1.12,1.19,4400,0.38
1.12,1.19,4500,0.39
1.12,1.19,4600,0.4
1.12,1.19,4700,0.41
1.12,1.19,4800,0.42
1.12,1.19,4900,0.43
1.12,1.19,5000,0.44
1.19,1.27,100,0.01
1.19,1.27,200,0.02
1.19,1.27,300,0.04
1.19,1.27,400,0.05
1.19,1.27,500,0.06
1.19,1.27,575,0.07
1.19,1.27,600,0.07
1.19,1.27,690,0.08
1.19,1.27,700,0.08
1.19,1.27,725,0.09
1.19,1.27,800,0.09
1.19,1.27,870,0.1
1.19,1.27,900,0.11
1.19,1.27,950,0.11
1.19,1.27,1000,0.12
1.19,1.27,1100,0.13
1.19,1.27,1160,0.14
1.19,1.27,1200,0.14
1.19,1.27,1300,0.15
1.19,1.27,1400,0.17
1.19,1.27,1425,0.17
1.19,1.27,1500,0.18
1.19,1.27,1600,0.19
1.19,1.27,1700,0.2
1.19,1.27,1750,0.21
1.19,1.27,1800,0.21
1.19,1.27,1900,0.23
1.19,1.27,2000,0.24
1.19,1.27,2100,0.25
1.19,1.27,2200,0.26
1.19,1.27,2300,0.27
1.19,1.27,2400,0.28
1.19,1.27,2500,0.3
1.19,1.27,2600,0.31
1.19,1.27,2700,0.32
1.19,1.27,2800,0.33
1.19,1.27,2850,0.34
1.19,1.27,2900,0.34
1.19,1.27,3000,0.36
1.19,1.27,3100,0.37
1.19,1.27,3200,0.38
1.19,1.27,3300,0.39
1.19,1.27,3400,0.4
1.19,1.27,3450,0.41
1.19,1.27,3500,0.42
1.19,1.27,3600,0.43
1.19,1.27,3700,0.44
1.19,1.27,3800,0.45
1.19,1.27,3900,0.46
1.19,1.27,4000,0.47
1.19,1.27,4100,0.49
1.19,1.27,4200,0.5
1.19,1.27,4300,0.51
1.19,1.27,4400,0.52
1.19,1.27,4500,0.53
1.19,1.27,4600,0.55
1.19,1.27,4700,0.56
1.19,1.27,4800,0.57
1.19,1.27,4900,0.58
1.19,1.27,5000,0.59
1.27,1.39,100,0.01
1.27,1.39,200,0.03
1.27,1.39,300,0.04
1.27,1.39,400,0.06
1.27,1.39,500,0.07
1.27,1.39,575,0.08
1.27,1.39,600,0.09
1.27,1.39,690,0.1
1.27,1.39,700,0.1
1.27,1.39,725,0.1
1.27,1.39,800,0.12
1.27,1.39,870,0.13
1.27,1.39,900,0.13
1.27,1.39,950,0.14
1.27,1.39,1000,0.14
1.27,1.39,1100,0.16
1.27,1.39,1160,0.17
1.27,1.39,1200,0.17
1.27,1.39,1300,0.19
1.27,1.39,1400,0.2
1.27,1.39,1425,0.2
1.27,1.39,1500,0.22
1.27,1.39,1600,0.23
1.27,1.39,1700,0.24
1.27,1.39,1750,0.25
1.27,1.39,1800,0.26
1.27,1.39,1900,0.27
1.27,1.39,2000,0.29
1.27,1.39,2100,0.3
1.27,1.39,2200,0.32
1.27,1.39,2300,0.33
1.27,1.39,2400,0.35
1.27,1.39,2500,0.36
1.27,1.39,2600,0.37
1.27,1.39,2700,0.39
1.27,1.39,2800,0.4
1.27,1.39,2850,0.41
1.27,1.39,2900,0.42
1.27,1.39,3000,0.43
1.27,1.39,3100,0.45
1.27,1.39,3200,0.46
1.27,1.39,3300,0.47
