"diameter","rpm","power_b"
70,100,0.16
70,200,0.3
70,300,0.42
70,400,0.54
70,500,0.65
70,575,0.73
70,600,0.76
70,690,0.85
70,700,0.86
70,725,0.59
70,800,0.96
70,870,1.03
70,900,1.06
70,950,1.11
70,1000,1.15
70,1100,1.25
70,1160,1.3
70,1200,1.34
70,1300,1.43
70,1400,1.51
70,1425,1.53
70,1500,1.6
70,1600,1.66
70,1700,1.76
70,1750,1.8
70,1800,1.84
70,1900,1.92
70,2000,1.99
70,2100,2.07
70,2200,2.14
70,2300,2.21
70,2400,2.28
70,2500,2.35
70,2600,2.42
70,2700,2.48
70,2800,2.55
70,2850,2.58
70,2900,2.61
70,3000,2.67
70,3100,2.73
70,3200,2.79
70,3300,2.85
70,3400,2.9
70,3450,2.93
70,3500,2.96
70,3600,3.01
70,3700,3.06
70,3800,3.11
70,3900,3.16
70,4000,3.2
70,4100,3.25
70,4200,3.29
70,4300,3.34
70,4400,3.38
70,4500,3.41
70,4600,3.45
70,4700,3.49
70,4800,3.52
70,4900,3.55
70,5000,3.58
80,100,0.21
80,200,0.39
80,300,0.56
80,400,0.72
80,500,0.87
80,575,0.98
80,600,1.02
80,690,1.15
80,700,1.16
80,725,1.2
80,800,1.3
80,870,1.4
80,900,1.44
80,950,1.5
80,1000,1.57
80,1100,1.7
80,1160,1.78
80,1200,1.83
80,1300,1.95
80,1400,2.08
80,1425,2.11
80,1500,2.2
80,1600,2.31
80,1700,2.43
80,1750,2.49
80,1800,2.54
80,1900,2.66
80,2000,2.77
80,2100,2.88
80,2200,2.98
80,2300,3.09
80,2400,3.19
80,2500,3.29
80,2600,3.39
80,2700,3.49
80,2800,3.58
80,2850,3.63
80,2900,3.67
80,3000,3.76
80,3100,3.85
80,3200,3.94
80,3300,4.03
80,3400,4.11
80,3450,4.15
80,3500,4.19
80,3600,4.27
80,3700,4.35
80,3800,4.42
80,3900,4.5
80,4000,4.57
80,4100,4.64
80,4200,4.7
80,4300,4.77
80,4400,4.83
80,4500,4.89
80,4600,4.95
80,4700,5.01
80,4800,5.06
80,4900,5.11
80,5000,5.16
90,100,0.26
90,200,0.48
90,300,0.69
90,400,0.89
90,500,1.09
90,575,1.23
90,600,1.27
90,690,1.44
90,700,1.46
90,725,1.5
90,800,1.63
90,870,1.76
90,900,1.81
90,950,1.89
90,1000,1.98
90,1100,2.15
90,1160,2.25
90,1200,2.31
90,1300,2.47
90,1400,2.63
90,1425,2.67
90,1500,2.79
90,1600,2.94
90,1700,3.09
90,1750,3.17
90,1800,3.24
90,1900,3.39
90,2000,3.53
90,2100,3.67
90,2200,3.81
90,2300,3.95
90,2400,4.08
90,2500,4.21
90,2600,4.34
90,2700,4.47
90,2800,4.59
90,2850,4.65
90,2900,4.71
90,3000,4.83
90,3100,4.95
90,3200,5.06
90,3300,5.17
90,3400,5.28
90,3450,5.33
90,3500,5.39
90,3600,5.49
90,3700,5.59
90,3800,5.69
90,3900,5.79
90,4000,5.88
90,4100,5.97
90,4200,6.05
90,4300,6.14
90,4400,6.22
90,4500,6.3
90,4600,6.37
90,4700,6.44
90,4800,6.51
90,4900,6.58
90,5000,6.64
100,100,0.31
100,200,0.58
100,300,0.83
100,400,1.07
100,500,1.3
100,575,1.47
100,600,1.53
100,690,1.73
100,700,1.75
100,725,1.8
100,800,1.97
100,870,2.11
100,900,2.18
100,950,2.28
100,1000,2.39
100,1100,2.59
100,1160,2.71
100,1200,2.79
100,1300,2.99
100,1400,3.18
100,1425,3.23
100,1500,3.37
100,1600,3.56
100,1700,3.74
100,1750,3.83
100,1800,3.92
100,1900,4.1
100,2000,4.28
100,2100,4.45
100,2200,4.62
100,2300,4.79
100,2400,4.95
100,2500,5.11
100,2600,5.27
100,2700,5.42
100,2800,5.57
100,2850,5.65
100,2900,5.72
100,3000,5.87
100,3100,6.01
100,3200,6.15
100,3300,6.28
100,3400,6.41
100,3450,6.48
100,3500,6.54
100,3600,6.67
100,3700,6.79
100,3800,6.91
100,3900,7.02
100,4000,7.13
100,4100,7.24
100,4200,7.34
100,4300,7.44
100,4400,7.53
100,4500,7.63
100,4600,7.71
100,4700,7.8
100,4800,7.88
100,4900,7.95
100,5000,8.02
110,100,0.36
110,200,0.67
110,300,0.96
110,400,1.24
110,500,1.52
110,575,1.71
110,600,1.78
110,690,2.01
110,700,2.04
110,725,2.1
110,800,2.29
110,870,2.47
110,900,2.54
110,950,2.67
110,1000,2.79
110,1100,3.03
110,1160,3.17
110,1200,3.26
110,1300,3.5
110,1400,3.72
110,1425,3.78
110,1500,3.95
110,1600,4.17
110,1700,4.39
110,1750,4.49
110,1800,4.6
110,1900,4.81
110,2000,5.02
110,2100,5.22
110,2200,5.42
110,2300,5.61
110,2400,5.8
110,2500,5.99
110,2600,6.18
110,2700,6.36
110,2800,6.53
110,2850,6.62
110,2900,6.7
110,3000,6.87
110,3100,7.04
110,3200,7.2
110,3300,7.35
110,3400,7.5
110,3450,7.58
110,3500,7.65
110,3600,7.79
110,3700,7.93
110,3800,8.07
110,3900,8.2
110,4000,8.32
110,4100,8.44
110,4200,8.56
110,4300,8.67
110,4400,8.77
110,4500,8.87
110,4600,8.96
110,4700,9.05
110,4800,9.14
110,4900,9.22
110,5000,9.29
120,100,0.4
120,200,0.76
120,300,1.09
120,400,1.41
120,500,1.73
120,575,1.96
120,600,2.03
120,690,2.3
120,700,2.33
120,725,2.4
120,800,2.62
120,870,2.82
120,900,2.91
120,950,3.05
120,1000,3.19
120,1100,3.46
120,1160,3.62
120,1200,3.73
120,1300,4
120,1400,4.26
120,1425,4.33
120,1500,4.52
120,1600,4.77
120,1700,5.02
120,1750,5.14
120,1800,5.26
120,1900,5.5
120,2000,5.74
120,2100,5.97
120,2200,6.2
120,2300,6.42
120,2400,6.64
120,2500,6.85
120,2600,7.06
120,2700,7.27
120,2800,7.46
120,2850,7.56
120,2900,7.66
120,3000,7.85
120,3100,8.03
120,3200,8.21
120,3300,8.39
120,3400,8.55
120,3450,8.64
120,3500,8.72
120,3600,8.87
120,3700,9.03
120,3800,9.17
120,3900,9.31
120,4000,9.45
120,4100,9.58
120,4200,9.7
120,4300,9.81
120,4400,9.92
120,4500,10
120,4600,10.1
120,4700,10.2
120,4800,10.3
120,4900,10.4
120,5000,10.4
130,100,0.45
130,200,0.85
130,300,1.22
130,400,1.59
130,500,1.94
130,575,2.19
130,600,2.28
130,690,2.58
130,700,2.61
130,725,2.7
130,800,2.94
130,870,3.17
130,900,3.26
130,950,3.42
130,1000,3.58
130,1100,3.89
130,1160,4.08
130,1200,4.2
130,1300,4.5
130,1400,4.79
130,1425,4.86
130,1500,5.08
130,1600,5.37
130,1700,5.56
130,1750,5.78
130,1800,5.92
130,1900,6.19
130,2000,6.45
130,2100,6.71
130,2200,6.97
130,2300,7.21
130,2400,7.46
130,2500,7.69
130,2600,7.92
130,2700,8.15
130,2800,8.37
130,2850,8.48
130,2900,8.58
130,3000,8.79
130,3100,8.99
130,3200,9.19
130,3300,9.38
130,3400,9.56
130,3450,9.65
130,3500,9.73
130,3600,9.9
130,3700,10.1
130,3800,10.2
130,3900,10.4
130,4000,10.5
130,4100,10.6
130,4200,10.8
130,4300,10.9
130,4400,11
130,4500,11.1
130,4600,11.2
130,4700,11.3
130,4800,11.3
130,4900,11.4
130,5000,11.5
140,100,0.5
140,200,0.94
140,300,1.35
140,400,1.76
140,500,2.15
140,575,2.43
140,600,2.53
140,690,2.86
140,700,2.9
140,725,2.99
140,800,3.26
140,870,3.51
140,900,3.62
140,950,3.8
140,1000,3.97
140,1100,4.32
140,1160,4.52
140,1200,4.66
140,1300,4.99
140,1400,5.32
140,1425,5.4
140,1500,5.64
140,1600,5.95
140,1700,6.26
140,1750,6.41
140,1800,6.56
140,1900,6.86
140,2000,7.15
140,2100,7.44
140,2200,7.72
140,2300,7.99
140,2400,8.25
140,2500,8.51
140,2600,8.76
140,2700,9.01
140,2800,9.25
140,2850,9.36
140,2900,9.48
140,3000,9.7
140,3100,9.92
140,3200,10.1
140,3300,10.3
140,3400,10.5
140,3450,10.6
140,3500,10.7
140,3600,10.9
140,3700,11
140,3800,11.2
140,3900,11.3
140,4000,11.5
140,4100,11.6
140,4200,11.7
140,4300,11.9
140,4400,12
140,4500,12
140,4600,12.1
140,4700,12.2
150,100,0.54
150,200,1.03
150,300,1.48
150,400,1.93
150,500,2.35
150,575,2.67
150,600,2.77
150,690,3.14
150,700,3.18
150,725,3.28
150,800,3.58
150,870,3.86
150,900,3.98
150,950,4.17
150,1000,4.36
150,1100,4.74
150,1160,4.96
150,1200,5.11
150,1300,5.48
150,1400,5.83
150,1425,5.92
150,1500,6.19
150,1600,6.53
150,1700,6.87
150,1750,7.03
150,1800,7.2
150,1900,7.52
150,2000,7.84
150,2100,8.15
150,2200,8.45
150,2300,8.74
150,2400,9.03
150,2500,9.31
150,2600,9.58
150,2700,9.84
150,2800,10.1
150,2850,10.2
150,2900,10.3
150,3000,10.6
150,3100,10.8
150,3200,11
150,3300,11.2
150,3400,11.4
150,3450,11.5
150,3500,11.6
150,3600,11.8
150,3700,12
150,3800,12.1
150,3900,12.3
150,4000,12.4
150,4100,12.5
150,4200,12.6
150,4300,12.7
150,4400,12.8
160,100,0.59
160,200,1.12
160,300,1.61
160,400,2.09
160,500,2.56
160,575,2.9
160,600,3.02
160,690,3.42
160,700,3.46
160,725,3.57
160,800,3.9
160,870,4.2
160,900,4.33
160,950,4.54
160,1000,4.75
160,1100,5.16
160,1160,5.4
160,1200,5.56
160,1300,5.96
160,1400,6.35
160,1425,6.44
160,1500,6.73
160,1600,7.1
160,1700,4.47
160,1750,7.65
160,1800,7.82
160,1900,8.17
160,2000,8.51
160,2100,8.84
160,2200,9.17
160,2300,9.48
160,2400,9.79
160,2500,10.1
160,2600,10.4
160,2700,10.6
160,2800,10.9
160,2850,11
160,2900,11.2
160,3000,11.4
160,3100,11.6
160,3200,11.9
160,3300,12.1
160,3400,12.3
160,3450,12.4
160,3500,12.5
160,3600,12.6
160,3700,12.8
160,3800,13
160,3900,13.1
160,4000,13.2
160,4100,13.3
170,100,0.64
170,200,1.2
170,300,1.74
170,400,2.26
170,500,2.77
170,575,3.14
170,600,3.26
170,690,3.69
170,700,3.74
170,725,3.86
170,800,4.21
170,870,4.54
170,900,4.67
170,950,4.9
170,1000,5.13
170,1100,5.57
170,1160,5.84
170,1200,6.01
170,1300,6.44
170,1400,6.85
170,1425,6.96
170,1500,7.26
170,1600,7.66
170,1700,8.06
170,1750,8.25
170,1800,8.44
170,1900,8.81
170,2000,9.17
170,2100,9.53
170,2200,9.87
170,2300,10.2
170,2400,10.5
170,2500,10.8
170,2600,11.1
170,2700,11.4
170,2800,11.7
170,2850,11.8
170,2900,12
170,3000,12.2
170,3100,12.4
170,3200,12.7
170,3300,12.9
170,3400,13.1
170,3450,13.2
170,3500,13.3
170,3600,13.4
170,3700,13.6
170,3800,13.7
170,3900,13.9
180,100,0.68
180,200,1.29
180,300,1.87
180,400,2.43
180,500,2.97
180,575,3.37
180,600,3.5
180,690,3.97
180,700,4.02
180,725,4.15
180,800,4.52
180,870,4.87
180,900,5.02
180,950,5.27
180,1000,5.51
180,1100,5.98
180,1160,6.27
180,1200,6.45
180,1300,6.91
180,1400,7.35
180,1425,7.46
180,1500,7.79
180,1600,8.22
180,1700,8.63
180,1750,8.84
180,1800,9.04
180,1900,9.44
180,2000,9.82
180,2100,10.2
180,2200,10.6
180,2300,10.9
180,2400,11.2
180,2500,11.6
180,2600,11.9
180,2700,12.2
180,2800,12.4
180,2850,12.6
180,2900,12.7
180,3000,13
180,3100,13.2
180,3200,13.4
180,3300,13.6
180,3400,13.8
180,3450,13.9
180,3500,14
180,3600,14.2
180,3700,14.3
190,100,0.73
190,200,1.38
190,300,2
190,400,2.59
190,500,3.17
190,575,3.6
190,600,3.74
190,690,4.24
190,700,4.29
190,725,4.43
190,800,4.83
190,870,5.21
190,900,5.36
190,950,5.63
190,1000,5.88
190,1100,6.39
190,1160,6.69
190,1200,6.89
190,1300,7.37
190,1400,7.85
190,1425,7.97
190,1500,8.31
190,1600,8.76
190,1700,9.2
190,1750,9.42
190,1800,9.63
190,1900,10
190,2000,10.5
190,2100,10.8
190,2200,11.2
190,2300,11.6
190,2400,11.9
190,2500,12.3
190,2600,12.6
190,2700,12.9
190,2800,13.2
190,2850,13.3
190,2900,13.4
190,3000,13.7
190,3100,13.9
190,3200,14.1
190,3300,14.3
190,3400,14.5
190,3450,14.6
190,3500,14.7
200,100,0.78
200,200,1.47
200,300,2.12
200,400,2.76
200,500,3.38
200,575,3.83
200,600,3.98
200,690,4.51
200,700,4.57
200,725,4.71
200,800,5.14
200,870,5.54
200,900,5.71
200,950,598
200,1000,6.26
200,1100,6.79
200,1160,7.11
200,1200,7.32
200,1300,7.84
200,1400,8.34
200,1425,8.46
200,1500,8.83
200,1600,9.3
200,1700,9.76
200,1750,9.99
200,1800,10.2
200,1900,10.6
200,2000,11.1
200,2100,11.5
200,2200,11.9
200,2300,12.2
200,2400,12.6
200,2500,12.9
200,2600,13.3
200,2700,13.6
200,2800,13.8
200,2850,14
200,2900,14.1
200,3000,14.4
200,3100,14.6
200,3200,14.8
200,3300,15
210,100,0.82
210,200,1.55
210,300,2.25
210,400,2.92
210,500,3.58
210,575,4.06
210,600,4.22
210,690,4.78
210,700,4.84
210,725,4.99
210,800,5.45
210,870,5.87
210,900,6.04
210,950,6.34
210,1000,6.63
210,1100,7.19
210,1160,7.53
210,1200,7.75
210,1300,8.29
210,1400,8.82
210,1425,8.95
210,1500,9.33
210,1600,9.83
210,1700,10.3
210,1750,10.6
210,1800,10.8
210,1900,11.2
210,2000,11.7
210,2100,12.1
210,2200,12.5
210,2300,12.9
210,2400,13.2
210,2500,13.6
210,2600,13.9
210,2700,14.2
210,2800,14.5
210,2850,14.6
210,2900,14.7
210,3000,15
210,3100,15.2
220,100,0.87
220,200,1.64
220,300,2.38
220,400,3.09
220,500,3.78
220,575,4.28
220,600,4.45
220,690,5.04
220,700,5.11
220,725,5.27
220,800,5.75
220,870,6.19
220,900,6.38
220,950,6.69
220,1000,6.99
220,1100,7.59
220,1160,7.94
220,1200,8.17
220,1300,8.74
220,1400,9.29
220,1425,9.43
220,1500,9.83
220,1600,10.4
220,1700,10.9
220,1750,11.1
220,1800,11.3
220,1900,11.8
220,2000,12.3
220,2100,12.7
220,2200,13.1
220,2300,13.5
220,2400,13.8
220,2500,14.2
220,2600,14.5
220,2700,14.8
