"gr_low","gr_high","rpm","power_a"
1.12,1.19,1160,0.54
1.12,1.19,1200,0.56
1.12,1.19,1300,0.6
1.12,1.19,1400,0.65
1.12,1.19,1425,0.66
1.12,1.19,1500,0.7
1.12,1.19,1600,0.74
1.12,1.19,1700,0.79
1.12,1.19,1750,0.81
1.12,1.19,1800,0.83
1.12,1.19,1900,0.88
1.12,1.19,2000,0.93
1.12,1.19,2100,0.97
1.12,1.19,2200,1.02
1.12,1.19,2300,1.07
1.12,1.19,2400,1.11
1.12,1.19,2500,1.16
1.12,1.19,2580,1.32
1.12,1.19,2600,1.2
1.12,1.19,2700,1.25
1.12,1.19,2800,1.3
1.12,1.19,2900,1.34
1.12,1.19,3000,1.39
1.12,1.19,3100,1.44
1.12,1.19,3200,1.48
1.12,1.19,3300,1.53
1.12,1.19,3400,1.58
1.12,1.19,3450,1.6
1.12,1.19,3500,1.62
1.12,1.19,3600,1.67
1.12,1.19,3700,1.71
1.19,1.27,100,0.06
1.19,1.27,200,0.13
1.19,1.27,300,0.19
1.19,1.27,400,0.25
1.19,1.27,435,0.27
1.19,1.27,485,0.31
1.19,1.27,500,0.32
1.19,1.27,575,0.36
1.19,1.27,600,0.38
1.19,1.27,690,0.44
1.19,1.27,700,0.44
1.19,1.27,725,0.46
1.19,1.27,800,0.5
1.19,1.27,870,0.55
1.19,1.27,900,0.57
1.19,1.27,950,0.6
1.19,1.27,1000,0.63
1.19,1.27,1100,0.69
1.19,1.27,1160,0.73
1.19,1.27,1200,0.76
1.19,1.27,1300,0.82
1.19,1.27,1400,0.88
1.19,1.27,1425,0.9
1.19,1.27,1500,0.95
1.19,1.27,1600,1.01
1.19,1.27,1700,1.07
1.19,1.27,1750,1.1
1.19,1.27,1800,1.14
1.19,1.27,1900,1.2
1.19,1.27,2000,1.26
1.19,1.27,2100,1.32
1.19,1.27,2200,1.39
1.19,1.27,2300,1.45
1.19,1.27,2400,1.51
1.19,1.27,2500,1.58
1.19,1.27,2580,1.8
1.19,1.27,2600,1.64
1.19,1.27,2700,1.7
1.19,1.27,2800,1.77
1.19,1.27,2900,1.83
1.19,1.27,3000,1.89
1.19,1.27,3100,196
1.19,1.27,3200,2.02
1.19,1.27,3300,2.08
1.19,1.27,3400,2.14
1.19,1.27,3450,2.18
1.19,1.27,3500,2.21
1.19,1.27,3600,2.27
1.19,1.27,3700,2.33
1.27,1.39,100,0.08
1.27,1.39,200,0.15
1.27,1.39,300,0.23
1.27,1.39,400,0.31
1.27,1.39,435,0.33
1.27,1.39,485,0.37
1.27,1.39,500,0.38
1.27,1.39,575,0.44
1.27,1.39,600,0.46
1.27,1.39,690,0.53
1.27,1.39,700,0.54
1.27,1.39,725,0.55
1.27,1.39,800,0.61
1.27,1.39,870,0.67
1.27,1.39,900,0.69
1.27,1.39,950,0.73
1.27,1.39,1000,0.76
1.27,1.39,1100,0.84
1.27,1.39,1160,0.89
1.27,1.39,1200,0.92
1.27,1.39,1300,0.99
1.27,1.39,1400,1.07
1.27,1.39,1425,1.09
1.27,1.39,1500,1.15
1.27,1.39,1600,1.22
1.27,1.39,1700,1.3
1.27,1.39,1750,1.34
1.27,1.39,1800,1.38
1.27,1.39,1900,1.45
1.27,1.39,2000,1.53
1.27,1.39,2100,1.61
1.27,1.39,2200,1.68
1.27,1.39,2300,1.76
1.27,1.39,2400,1.83
1.27,1.39,2500,1.91
1.27,1.39,2580,2.18
1.27,1.39,2600,1.99
1.27,1.39,2700,2.06
1.27,1.39,2800,2.14
1.27,1.39,2900,2.22
1.27,1.39,3000,2.29
1.27,1.39,3100,2.37
1.27,1.39,3200,2.45
1.27,1.39,3300,2.52
1.27,1.39,3400,2.6
1.27,1.39,3450,2.64
1.27,1.39,3500,2.68
1.27,1.39,3600,2.75
1.27,1.39,3700,2.83
1.39,1.58,100,0.09
1.39,1.58,200,0.18
1.39,1.58,300,0.27
1.39,1.58,400,0.36
1.39,1.58,435,0.39
1.39,1.58,485,0.43
1.39,1.58,500,0.45
1.39,1.58,575,0.51
1.39,1.58,600,0.54
1.39,1.58,690,0.62
1.39,1.58,700,0.63
1.39,1.58,725,0.65
1.39,1.58,800,0.72
1.39,1.58,870,0.78
1.39,1.58,900,0.81
1.39,1.58,950,0.85
1.39,1.58,1000,0.9
1.39,1.58,1100,0.98
1.39,1.58,1160,1.04
1.39,1.58,1200,1.07
