"gr_low","gr_high","rpm","power_a"
1.09,1.13,3000,1.49
1.09,1.13,3100,1.54
1.09,1.13,3200,1.59
1.09,1.13,3300,1.64
1.13,1.17,100,0.06
1.13,1.17,200,0.12
1.13,1.17,300,0.19
1.13,1.17,400,0.25
1.13,1.17,500,0.31
1.13,1.17,575,0.36
1.13,1.17,600,0.37
1.13,1.17,690,0.43
1.13,1.17,700,0.43
1.13,1.17,725,0.45
1.13,1.17,800,0.5
1.13,1.17,870,0.54
1.13,1.17,900,0.56
1.13,1.17,950,0.59
1.13,1.17,1000,0.62
1.13,1.17,1100,0.68
1.13,1.17,1160,0.72
1.13,1.17,1200,0.74
1.13,1.17,1300,81
1.13,1.17,1400,0.87
1.13,1.17,1425,0.88
1.13,1.17,1500,93
1.13,1.17,1600,0.99
1.13,1.17,1700,1.05
1.13,1.17,1750,1.09
1.13,1.17,1800,1.12
1.13,1.17,1900,1.18
1.13,1.17,2000,1.24
1.13,1.17,2100,1.3
1.13,1.17,2200,1.36
1.13,1.17,2300,1.43
1.13,1.17,2400,1.49
1.13,1.17,2500,1.55
1.13,1.17,2600,1.61
1.13,1.17,2700,1.67
1.13,1.17,2800,1.74
1.13,1.17,2900,1.8
1.13,1.17,3000,1.86
1.13,1.17,3100,1.92
1.13,1.17,3200,1.98
1.13,1.17,3300,2.05
1.17,1.23,100,0.07
1.17,1.23,200,0.15
1.17,1.23,300,0.22
1.17,1.23,400,0.3
1.17,1.23,500,0.37
1.17,1.23,575,0.43
1.17,1.23,600,0.45
1.17,1.23,690,0.51
1.17,1.23,700,0.52
1.17,1.23,725,0.54
1.17,1.23,800,0.6
1.17,1.23,870,65
1.17,1.23,900,0.67
1.17,1.23,950,0.71
1.17,1.23,1000,0.74
1.17,1.23,1100,0.82
1.17,1.23,1160,0.86
1.17,1.23,1200,0.89
1.17,1.23,1300,0.97
1.17,1.23,1400,1.04
1.17,1.23,1425,1.06
1.17,1.23,1500,1.12
1.17,1.23,1600,1.19
1.17,1.23,1700,1.27
1.17,1.23,1750,1.3
1.17,1.23,1800,1.34
1.17,1.23,1900,1.41
1.17,1.23,2000,1.49
1.17,1.23,2100,1.56
1.17,1.23,2200,1.64
1.17,1.23,2300,1.71
1.17,1.23,2400,1.79
1.17,1.23,2500,1.86
1.17,1.23,2600,1.94
1.17,1.23,2700,2.01
1.17,1.23,2800,2.08
1.17,1.23,2900,2.16
1.17,1.23,3000,2.23
1.17,1.23,3100,2.31
1.17,1.23,3200,2.38
1.17,1.23,3300,2.46
1.23,1.31,100,0.09
1.23,1.31,200,0.17
1.23,1.31,300,0.26
1.23,1.31,400,0.35
1.23,1.31,500,0.43
1.23,1.31,575,0.5
1.23,1.31,600,0.52
1.23,1.31,690,0.6
1.23,1.31,700,0.61
1.23,1.31,725,0.63
1.23,1.31,800,0.69
1.23,1.31,870,76
1.23,1.31,900,0.78
1.23,1.31,950,0.83
1.23,1.31,1000,0.87
1.23,1.31,1100,0.96
1.23,1.31,1160,1.01
1.23,1.31,1200,1.04
1.23,1.31,1300,1.13
1.23,1.31,1400,1.22
1.23,1.31,1425,1.24
1.23,1.31,1500,1.3
1.23,1.31,1600,1.39
1.23,1.31,1700,1.48
1.23,1.31,1750,1.52
1.23,1.31,1800,1.56
1.23,1.31,1900,1.65
1.23,1.31,2000,1.74
1.23,1.31,2100,1.82
1.23,1.31,2200,1.91
1.23,1.31,2300,2
1.23,1.31,2400,2.08
1.23,1.31,2500,2.17
1.23,1.31,2600,2.26
1.23,1.31,2700,2.35
1.23,1.31,2800,2.43
1.23,1.31,2900,2.52
1.23,1.31,3000,2.61
1.23,1.31,3100,2.69
1.23,1.31,3200,2.78
1.23,1.31,3300,2.87
1.31,1.49,100,0.1
1.31,1.49,200,0.2
1.31,1.49,300,0.3
1.31,1.49,400,0.4
1.31,1.49,500,0.5
1.31,1.49,575,0.57
1.31,1.49,600,0.6
1.31,1.49,690,0.69
1.31,1.49,700,0.7
1.31,1.49,725,0.72
1.31,1.49,800,0.79
1.31,1.49,870,0.86
1.31,1.49,900,0.89
1.31,1.49,950,0.94
1.31,1.49,1000,0.99
1.31,1.49,1100,1.09
1.31,1.49,1160,1.15
1.31,1.49,1200,1.19
1.31,1.49,1300,1.24
1.31,1.49,1400,1.39
1.31,1.49,1425,1.41
1.31,1.49,1500,1.49
1.31,1.49,1600,1.59
1.31,1.49,1700,1.67
1.31,1.49,1750,1.74
1.31,1.49,1800,1.79
1.31,1.49,1900,1.87
1.31,1.49,2000,1.99
1.31,1.49,2100,2.09
1.31,1.49,2200,2.18
1.31,1.49,2300,2.28
1.31,1.49,2400,2.38
1.31,1.49,2500,2.48
1.31,1.49,2600,2.58
1.31,1.49,2700,2.68
1.31,1.49,2800,2.78
1.31,1.49,2900,2.88
1.31,1.49,3000,2.98
1.31,1.49,3100,3.08
1.31,1.49,3200,3.18
1.31,1.49,3300,3.28
1.49,10,100,0.11
1.49,10,200,0.22
1.49,10,300,0.34
1.49,10,400,0.45
1.49,10,500,0.56
1.49,10,575,0.64
1.49,10,600,0.67
1.49,10,690,0.77
1.49,10,700,0.78
1.49,10,725,0.81
1.49,10,800,0.89
1.49,10,870,0.97
1.49,10,900,1.01
1.49,10,950,1.06
1.49,10,1000,1.12
1.49,10,1100,1.23
1.49,10,1160,1.37
1.49,10,1200,1.34
1.49,10,1300,1.45
1.49,10,1400,1.56
1.49,10,1425,1.59
1.49,10,1500,1.68
1.49,10,1600,1.79
1.49,10,1700,1.9
1.49,10,1750,1.95
1.49,10,1800,2.01
1.49,10,1900,2.12
1.49,10,2000,2.23
1.49,10,2100,2.35
1.49,10,2200,2.46
1.49,10,2300,2.57
1.49,10,2400,2.68
1.49,10,2500,2.79
1.49,10,2600,2.9
1.49,10,2700,3.02
1.49,10,2800,3.13
1.49,10,2900,3.24
1.49,10,3000,3.35
1.49,10,3100,3.46
1.49,10,3200,3.57
1.49,10,3300,3.69
