"gr_low","gr_high","rpm","power_a"
1.09,1.13,4000,0.33
1.09,1.13,4200,0.35
1.09,1.13,4400,0.36
1.09,1.13,4600,0.38
1.09,1.13,4800,0.4
1.09,1.13,5000,0.41
1.09,1.13,5200,0.43
1.09,1.13,5400,0.45
1.09,1.13,5600,0.46
1.09,1.13,5800,0.48
1.09,1.13,6000,0.5
1.09,1.13,6200,0.51
1.09,1.13,6400,0.53
1.09,1.13,6500,0.55
1.09,1.13,6800,0.56
1.13,1.17,200,0.02
1.13,1.17,400,0.04
1.13,1.17,600,0.06
1.13,1.17,800,0.08
1.13,1.17,950,0.1
1.13,1.17,1000,0.1
1.13,1.17,1160,0.12
1.13,1.17,1200,0.12
1.13,1.17,1400,0.14
1.13,1.17,1425,0.15
1.13,1.17,1600,0.17
1.13,1.17,1750,0.18
1.13,1.17,1800,0.19
1.13,1.17,2000,0.21
1.13,1.17,2000,0.23
1.13,1.17,2400,0.25
1.13,1.17,2600,0.27
1.13,1.17,2800,0.29
1.13,1.17,2850,0.29
1.13,1.17,3000,0.31
1.13,1.17,3200,0.33
1.13,1.17,3400,0.35
1.13,1.17,3450,0.36
1.13,1.17,3600,0.37
1.13,1.17,3800,0.39
1.13,1.17,4000,0.41
1.13,1.17,4200,0.43
1.13,1.17,4400,0.45
1.13,1.17,4600,0.48
1.13,1.17,4800,0.5
1.13,1.17,5000,0.52
1.13,1.17,5200,0.54
1.13,1.17,5400,0.56
1.13,1.17,5600,0.58
1.13,1.17,5800,0.6
1.13,1.17,6000,0.62
1.13,1.17,6200,0.64
1.13,1.17,6400,0.66
1.13,1.17,6500,0.68
1.13,1.17,6800,0.7
1.17,1.23,200,0.02
1.17,1.23,400,0.05
1.17,1.23,600,0.07
1.17,1.23,800,0.1
1.17,1.23,950,0.12
1.17,1.23,1000,0.12
1.17,1.23,1160,0.14
1.17,1.23,1200,0.15
1.17,1.23,1400,0.17
1.17,1.23,1425,0.18
1.17,1.23,1600,0.2
