"diameter","rpm","power_b"
270,800,13.4
270,870,14.3
270,900,14.6
270,950,15.2
270,1000,15.8
270,1100,16.8
270,1160,17.4
270,1200,17.8
270,1300,18.7
270,1400,19.4
270,1425,19.6
270,1500,20.1
270,1600,20.6
270,1700,21.1
270,1750,21.3
270,1800,21.4
270,1900,21.6
270,2000,21.7
270,2100,21.6
270,2200,21.4
280,100,2.46
280,200,4.5
280,300,6.38
280,400,8.13
280,500,9.78
280,575,11
280,600,11.3
280,690,12.7
280,700,12.8
280,725,13.2
280,800,14.2
280,870,15.1
280,900,15.5
280,950,16.1
280,1000,16.7
280,1100,17.8
280,1160,18.4
280,1200,18.8
280,1300,19.7
280,1400,20.5
280,1425,20.7
280,1500,21.2
280,1600,21.7
280,1700,22.1
280,1750,22.3
280,1800,22.4
280,1900,22.6
280,2000,22.6
280,2100,22.5
300,100,2.71
300,200,4.97
300,300,7.05
300,400,9
300,500,10.8
300,575,12.1
300,600,12.6
300,690,14
300,700,14.2
300,725,14.6
300,800,15.7
300,870,16.7
300,900,17.1
300,950,17.8
300,1000,18.5
300,1100,19.6
300,1160,20.3
300,1200,20.7
300,1300,21.7
300,1400,22.5
300,1425,22.7
300,1500,23.2
300,1600,23.7
300,1700,24.1
300,1750,24.3
300,1800,24.4
300,1900,24.4
300,2000,24.4
320,100,2.96
320,200,5.44
320,300,7.72
320,400,9.86
320,500,11.9
320,575,13.3
320,600,13.8
320,690,15.4
320,700,15.5
320,725,16
320,800,17.2
320,870,18.3
320,900,18.7
320,950,19.5
320,1000,20.2
320,1100,21.4
320,1160,22.1
320,1200,22.6
320,1300,23.6
320,1400,24.4
320,1425,24.6
320,1500,25.1
320,1600,25.6
320,1700,25.9
320,1750,26
320,1800,26.1
320,1900,26
340,100,3.21
340,200,5.9
340,300,8.39
340,400,10.7
340,500,12.9
340,575,14.5
340,600,15
340,690,16.7
340,700,16.9
340,725,17.3
340,800,18.7
340,870,19.8
340,900,20.9
340,950,21.1
340,1000,21.8
340,1100,23.2
340,1160,23.9
340,1200,24.4
340,1300,25.4
340,1400,26.2
340,1425,26.4
340,1500,26.8
340,1600,27.3
340,1700,27.5
340,1750,27.5
360,100,3.46
360,200,6.36
360,300,9.05
360,400,11.6
360,500,13.9
360,575,15.6
360,600,16.1
360,690,18
360,700,18.2
360,725,18.7
360,800,20.1
360,870,21.3
360,900,21.9
360,950,22.7
360,1000,23.4
360,1100,24.8
360,1160,25.6
360,1200,26
360,1300,27.1
360,1400,27.9
360,1425,28
360,1500,28.4
360,1600,28.8
360,1700,28.9
380,100,3.7
380,200,6.82
380,300,9.7
380,400,12.4
380,500,14.9
380,575,16.7
380,600,17.3
380,690,19.3
380,700,19.5
380,725,20
380,800,21.9
380,870,22.8
380,900,23.3
380,950,24.2
380,1000,25
380,1100,26.4
380,1160,27.2
380,1200,27.6
380,1300,28.6
380,1400,29.4
380,1425,29.5
380,1500,29.9
380,1600,30.1
400,100,3.94
400,200,7.28
400,300,10.4
400,400,13.2
400,500,15.9
400,575,17.8
400,600,18.4
400,690,20.5
400,700,20.4
400,725,21.3
400,800,22.9
400,870,24.2
400,900,24.8
400,950,25.7
400,1000,26.5
400,1100,27.9
400,1160,28.7
400,1200,29.1
400,1300,30.1
400,1400,30.7
400,1425,30.9
400,1500,31.1
