"gr_low","gr_high","rpm","power_a"
1.09,1.13,725,1.13
1.09,1.13,750,1.17
1.09,1.13,800,1.24
1.09,1.13,850,1.32
1.09,1.13,870,1.35
1.09,1.13,900,1.4
1.09,1.13,950,1.48
1.09,1.13,950,1.48
1.09,1.13,1000,1.55
1.09,1.13,1050,1.63
1.09,1.13,1100,1.71
1.09,1.13,1150,1.79
1.09,1.13,1160,1.8
1.09,1.13,1200,1.86
1.09,1.13,1250,1.94
1.09,1.13,1300,2.01
1.09,1.13,1350,2.1
1.09,1.13,1400,2.18
1.09,1.13,1450,2.25
1.09,1.13,1500,2.33
1.09,1.13,1550,2.41
1.09,1.13,1600,2.49
1.09,1.13,1650,2.56
1.09,1.13,1700,2.64
1.09,1.13,1750,2.72
1.09,1.13,1800,2.8
1.09,1.13,1850,2.88
1.09,1.13,1900,2.95
1.09,1.13,1950,3.03
1.13,1.17,50,0.1
1.13,1.17,100,0.19
1.13,1.17,150,0.29
1.13,1.17,200,0.39
1.13,1.17,250,0.49
1.13,1.17,300,0.58
1.13,1.17,350,0.68
1.13,1.17,400,0.78
1.13,1.17,435,0.85
1.13,1.17,450,0.87
1.13,1.17,485,0.94
1.13,1.17,500,0.97
1.13,1.17,550,1.07
1.13,1.17,575,1.12
1.13,1.17,600,1.17
1.13,1.17,650,1.26
1.13,1.17,690,1.34
1.13,1.17,700,1.36
1.13,1.17,725,1.41
1.13,1.17,750,1.46
1.13,1.17,800,1.55
1.13,1.17,850,1.65
1.13,1.17,870,1.69
1.13,1.17,900,1.75
1.13,1.17,950,1.85
1.13,1.17,950,1.85
1.13,1.17,1000,1.94
1.13,1.17,1050,2.04
1.13,1.17,1100,2.14
1.13,1.17,1150,2.23
1.13,1.17,1160,2.25
1.13,1.17,1200,2.33
1.13,1.17,1250,2.43
1.13,1.17,1300,2.53
1.13,1.17,1350,2.62
1.13,1.17,1400,2.72
1.13,1.17,1450,2.82
1.13,1.17,1500,2.91
1.13,1.17,1550,3.01
1.13,1.17,1600,3.11
1.13,1.17,1650,3.21
1.13,1.17,1700,3.3
1.13,1.17,1750,3.4
1.13,1.17,1800,3.5
1.13,1.17,1850,3.59
1.13,1.17,1900,3.69
1.13,1.17,1950,3.79
1.17,1.23,50,0.12
1.17,1.23,100,0.23
1.17,1.23,150,0.35
1.17,1.23,200,0.47
1.17,1.23,250,0.58
1.17,1.23,300,0.7
1.17,1.23,350,0.82
1.17,1.23,400,0.93
1.17,1.23,435,1.01
1.17,1.23,450,1.05
1.17,1.23,485,1.13
1.17,1.23,500,1.17
1.17,1.23,550,1.28
1.17,1.23,575,1.34
1.17,1.23,600,1.4
